"","PIC_logDry_weight","PIC_logNe"
"",-0.0126190717479583,0.017932058373291
"'35'",0.0195169607173384,-0.0168322013579747
"'36'",0.16014271939861,-0.0225713228225487
"'37'",0.0576344258571988,-0.00742191481908869
"'25'",0.110859718580946,0.0644224928263843
"'13'",0.0862669350339646,0.0202051030248128
"'14'",-0.192153325442906,-0.00285891929732933
"'163'",0.0533061984962892,-0.0250892224064787
"'28'",0.0136106550344932,0.0200808779811896
"'29'",-0.0371008258715694,0.00320856141560307
"'34'",0.145855022101187,-0.0713286404503745
"'111'",0.00706172523848271,0.0252636693791567
"'30'",0.306119220475863,-0.0117899220294283
"'94'",0.314537552839207,-0.0199448696204062
"'79'",-0.087347321840455,-0.0259643672710678
"'48'",-0.182343348824288,0.00939701554331863
"'60'",-0.0189862372142377,0.00538612419791448
"'43'",-0.196584114154762,0.116915795811733
"'57'",-0.0041814827083822,0.0410078333371191
"'33'",-0.126950249603135,0.066597836993784
"'49'",-0.280133811392091,0.00760256063080586
"'51'",-0.084404661409826,0.0595784533471894
"'50'",0.176843977646146,-0.155263672030374
"'56'",-0.0897257368693341,0.0429397870547643
"'80'",-0.117109971942015,0.0150579388764877
"'82'",0.0763164284497079,-0.0976522788404599
"'83'",0.182635144943815,-0.0705315797894721
"'47'",0.00644920137012004,-0.0692769951434792
"'63'",-0.23103295055854,0.100233106687267
"'87'",-0.209749817910378,0.0403260128508149
"'84'",-0.132580140033328,-0.0271229678850745
"'68'",-0.0845885597120189,-0.07316879897301
"'72'",-0.0664385335996726,0.0457992170486049
"'73'",-0.364759092494002,0.166338937157354
"'31'",-0.0833081844033897,0.0411871022866379
"'78'",-0.111786300066867,0.016651364226354
"'92'",-0.0788085392867074,-0.0933954581651312
"'103'",0.0721417852733461,-0.0133095272829883
"'104'",-0.155232928056058,-0.0132115739319399
"'106'",-0.133441320914871,0.0211376286027744
"'98'",0.0598924984685147,-0.00301729537625732
"'32'",0.0300620815414825,-0.00258265644788477
"'67'",-0.102721479897923,0.0990867568886772
"'71'",-0.209714013618392,-0.0597978579056273
"'77'",0.501376211849422,0.0704206417565938
"'97'",0.982856097672437,0.0362161595951106
"'46'",-0.0979773338852546,-0.235654769738644
"'66'",0.0653379267497259,0.00959405514558317
"'154'",-0.0503947814451417,0.00546043437543394
"'123'",-0.0606412661330732,-0.00888986177853075
"'116'",0.0506496487117361,0.00707927105519629
"'24'",0.180380827540884,0.044121305030964
"'124'",-0.0237356993270803,-0.0184061250967339
"'156'",0.0835685081542913,-0.0349822051581566
"'157'",0.096003218774045,-0.0676409266543194
"'21'",0.0205296158081103,-0.0553371322602341
"'146'",0.0883664609757894,-0.0578877229306455
"'134'",0.00912950895223834,-0.0181737740407004
"'136'",0.0945053432392956,-0.0301576683694844
"'121'",-0.0492047987368209,-0.0509557311014226
"'128'",-0.0783392108443528,-0.01387098648291
"'122'",-0.146246344712753,0.0148783758058284
"'120'",0.572353419764446,-0.196100780632541
"'22'",0.147477833301992,0.0343346020208398
"'23'",0.0789166581145555,-0.0941041359428552
"'115'",0.473540565648029,-0.0316405760862375
"'119'",0.0653344057320715,-0.0488355823972416
"'133'",0.145935856526661,-0.0111209122142848
"'139'",-0.00794391283189994,-0.0066688428361156
"'143'",0.0713956621409261,-0.0371612727517152
"'144'",-0.165819625232867,0.0363378959937859
