Ailurus fulgens
Amphiprion ocellaris
Aptenodytes forsteri
Ara glaucogularis
Arctocephalus gazella
Betta splendens
Canis lupus
Capra hircus
Cavia aperea
Ceratotherium simum simum
Cervus elaphus yarkandensis
Cervus nippon
Chauna torquata
Chlorocebus aethiops
Chrysemys picta
Clupea harengus
Coleonyx brevis
Coturnix japonica
Cyanistes caeruleus
Cynoglossus semilaevis
Eublepharis macularius
Felis catus
Ficedula albicollis
Fukomys damarensis
Gallus gallus
Giraffa camelopardalis
Gorilla gorilla
Gyps fulvus
Hippopotamus amphibius
Homo sapiens
Hylobates lar
Larimichthys crocea
Larus argentatus
Larus marinus
Macaca mulatta
Mandrillus leucophaeus
Megaptera novaeangliae
Microcebus murinus
Monodelphis domestica
Moschus berezovskii
Mus musculus
Neovison vison
Odobenus rosmarus
Ornithorhynchus anatinus
Pan troglodytes
Panthera pardus
Pelecanus crispus
Phoenicopterus roseus
Pithecia pithecia
Platalea ajaja
Pogona vitticeps
Pongo abelii
Procavia capensis
Pygoscelis adeliae
Rangifer tarandus
Rhea pennata
Rousettus aegyptiacus
Saimiri boliviensis
Salmo salar
Sarcophilus harrisii
Saxicola maurus
Sphaerodactylus inigoi
Syngnathus scovelli
Sus scrofa
Taeniopygia guttata
Tapirus indicus
Thamnophis sirtalis
Tupaia belangeri
Turdus merula
Tursiops truncatus
Vicugna pacos
Vulpes vulpes
