Species,Genomic_Percent_GC,CAI
Hipposideros_armiger,0.41728481,0.76406157
Arabidopsis_lyrata,0.364546808,0.78072834
Macaca_mulatta,0.412051052,0.799367309
Ananas_comosus,0.380155353,0.873396397
Drosophila_arizonae,0.41289505,0.760601044
Lipotes_vexillifer,0.41705137,0.758092761
Branchiostoma_floridae,0.413272064,0.771365643
Esox_lucius,0.426652014,0.726860762
Drosophila_bipectinata,0.428526368,0.711689293
Vitis_vinifera,0.35271892,0.828347802
Vollenhovia_emeryi,0.420044713,0.837250113
Drosophila_eugracilis,0.412820929,0.769851327
Ceratotherium_simum,0.414748208,0.786664307
Ornithorhynchus_anatinus,0.456340193,0.742436171
Rhinopithecus_bieti,0.421038015,0.792648375
Cebus_capucinus,0.41169905,0.804127216
Odocoileus_virginianus,0.417669357,0.771233022
Trichechus_manatus,0.405507545,0.829634726
Numida_meleagris,0.413657344,0.827151477
Acyrthosiphon_pisum,0.298369813,0.761632085
Picoides_pubescens,0.443723035,0.806708932
Takifugu_rubripes,0.454749752,0.737631619
Plasmodium_berghei,0.221178768,0.733601511
Mus_pahari,0.426732445,0.778329849
Stegastes_partitus,0.418366571,0.743550837
Tyto_alba,0.400135655,0.82488513
Geospiza_fortis,0.416764591,0.804771781
Saimiri_boliviensis,0.41542421,0.798236489
Buceros_rhinoceros,0.423170075,0.826457322
Danio_rerio,0.364161728,0.792162597
Cyprinus_carpio,0.370276097,0.795030713
Hydra_vulgaris,0.273659292,0.729327798
Loxodonta_africana,0.410659964,0.779289007
Citrus_sinensis,0.346979288,0.794335604
Culex_quinquefasciatus,0.383009378,0.727675676
Myotis_davidii,0.423967623,0.783939064
Equus_caballus,0.415145505,0.78179574
Chondrus_crispus,0.526981308,0.856943846
Ostreococcus_tauri,0.591795593,0.715683758
Camelus_dromedarius,0.413493164,0.777762294
Echinococcus_granulosus,0.418365597,0.872356832
Parasteatoda_tepidariorum,0.2921479,0.746286869
Eufriesea_mexicana,0.409561999,0.787569642
Drosophila_erecta,0.43121331,0.724190772
Macaca_nemestrina,0.41252985,0.795181811
Solenopsis_invicta,0.363410518,0.877876639
Meriones_unguiculatus,0.42746659,0.761881828
Marmota_marmota,0.406780999,0.800276279
Plasmodium_falciparum,0.191743986,0.74017936
Latimeria_chalumnae,0.409024639,0.836801708
Phaseolus_vulgaris,0.328085708,0.80809027
Dendroctonus_ponderosae,0.364223597,0.841212153
Melopsittacus_undulatus,0.412922598,0.825076401
Pygoscelis_adeliae,0.413355181,0.834981322
Physeter_catodon,0.418633887,0.785409868
Oryctolagus_cuniculus,0.441992472,0.739876688
Aspergillus_terreus,0.529868298,0.75455296
Spinacia_oleracea,0.374163502,0.790573537
Nematostella_vectensis,0.405717919,0.885071218
Micromonas_pusilla,0.659568364,0.692768455
Eurypyga_helias,0.421089926,0.830566049
Cariama_cristata,0.409708845,0.834088266
Callithrix_jacchus,0.40666913,0.806796968
Jaculus_jaculus,0.426045648,0.767160714
Emiliania_huxleyi,0.65781419,0.716551423
Drosophila_yakuba,0.429016255,0.729829788
Bos_taurus,0.422146893,0.748610318
Pantholops_hodgsonii,0.421505969,0.749472499
Momordica_charantia,0.350447529,0.809009373
Labrus_bergylta,0.410243378,0.75632745
Morus_notabilis,0.353558131,0.833960593
Gossypium_hirsutum,0.341655931,0.794262111
Eurytemora_affinis,0.326237395,0.808254302
Chlorocebus_sabaeus,0.41209188,0.783160269
Saccharomyces_cerevisiae,0.380870928,0.767894506
Panthera_pardus,0.417809383,0.766147852
Jatropha_curcas,0.33763984,0.77968502
Orussus_abietinus,0.454176255,0.85645324
Mus_musculus,0.421582832,0.787434459
