Row,SpeciesUID,Speciesname,NewickName,commonname,kingdom,Genic_GC,CAI
1,3,AiluropodaMelanoleuca,Ailuropoda_melanoleuca,Panda,vertebrate,0.53,0.754072905
2,4,AnasPlatyrhynchos,Anas_platyrhynchos,Duck,vertebrate,0.4929,0.807768464
3,5,AnolisCarolinensis,Anolis_carolinensis,AnoleLizard,vertebrate,0.4842,0.83845526
4,6,AotusNancymaae,Aotus_nancymaae,Ma'sNightMonkey,vertebrate,0.515,0.789257348
5,7,BosTaurus,Bos_taurus,Cow,vertebrate,0.534,0.743060589
6,8,CaenorhabditisElegans,Caenorhabditis_elegans,C.Elegans,vertebrate,0.4332,0.750769913
7,9,CallithrixJacchus,Callithrix_jacchus,Marmoset,vertebrate,0.5129,0.79726851
8,10,CanisLupusFamiliaris,Canis_lupus,Dog,vertebrate,0.5258,0.790491223
9,11,CapraHircus,Capra_hircus,Goat,vertebrate,0.5323,0.750361145
10,12,CarlitoSyrichta,Carlito_syrichta,Tarsier,vertebrate,0.5123,0.78567481
11,13,CaviaAperea,Cavia_aperea,BrazilianGuineaPig,vertebrate,0.5258,0.745790541
12,14,CaviaPorcellus,Cavia_porcellus,GuineaPig,vertebrate,0.5269,0.75921917
13,15,CebusCapucinusImitator,Cebus_capucinus,Capuchin,vertebrate,0.5167,0.797566295
14,16,CercocebusAtys,Cercocebus_atys,SootyMangabey,vertebrate,0.5166,0.787361324
15,17,ChinchillaLanigera,Chinchilla_lanigera,Long-tailedChinchilla,vertebrate,0.5325,0.747190475
16,18,ChlorocebusSabaeus,Chlorocebus_sabaeus,Vervet-agm,vertebrate,0.5205,0.776745379
17,19,CionaIntestinalis,Ciona_intestinalis,C.intestinalis,vertebrate,0.4266,0.777073801
18,20,ColobusAngolensisPalliatus,Colobus_angolensis,AngolaColobus,vertebrate,0.5116,0.794537783
19,21,CricetulusGriseus,Cricetulus_griseus,ChineseHamsterChok1gs,vertebrate,0.5149,0.788511992
20,22,CricetulusGriseus,Cricetulus_griseus,ChineseHamsterCrigri,vertebrate,0.5076,0.797568321
21,23,DanioRerio,Danio_rerio,Zebrafish,vertebrate,0.4983,0.780015767
22,24,DasypusNovemcinctus,Dasypus_novemcinctus,Armadillo,vertebrate,0.5257,0.766312063
23,25,DipodomysOrdii,Dipodomys_ordii,KangarooRat,vertebrate,0.5254,0.761806726
24,26,DrosophilaMelanogaster,Drosophila_melanogaster,Fruitfly,vertebrate,0.5405,0.7208938
25,27,EptatretusBurgeri,Eptatretus_burgeri,InshoreHagfish,vertebrate,0.5052,0.825888932
26,28,EquusCaballus,Equus_caballus,Horse,vertebrate,0.5161,0.77175647
27,29,FelisCatus,Felis_catus,Cat,vertebrate,0.5274,0.762661815
28,30,FicedulaAlbicollis,Ficedula_albicollis,Flycatcher,vertebrate,0.5206,0.762185156
29,31,FukomysDamarensis,Fukomys_damarensis,DamaraMoleRat,vertebrate,0.5187,0.771617711
30,32,GadusMorhua,Gadus_morhua,Cod,vertebrate,0.5579,0.672421098
31,33,GallusGallus,Gallus_gallus,Chicken,vertebrate,0.5054,0.800824285
32,34,GasterosteusAculeatus,Gasterosteus_aculeatus,Stickleback,vertebrate,0.561,0.700573087
33,35,GorillaGorillaGorilla,Gorilla_gorilla,Gorilla,vertebrate,0.5152,0.785294771
34,36,HeterocephalusGlaber,Heterocephalus_glaber,NakedMole-ratFemale,vertebrate,0.5233,0.76724267
35,38,HomoSapiens,Homo_sapiens,Human,vertebrate,0.5222,0.777492285
36,39,IctidomysTridecemlineatus,Ictidomys_tridecemlineatus,Squirrel,vertebrate,0.5152,0.789437175
37,40,JaculusJaculus,Jaculus_jaculus,LesserEgyptianJerboa,vertebrate,0.5273,0.761574268
38,41,LatimeriaChalumnae,Latimeria_chalumnae,Coelacanth,vertebrate,0.4667,0.818166494
39,42,LepisosteusOculatus,Lepisosteus_oculatus,SpottedGar,vertebrate,0.5302,0.734889209
40,43,LoxodontaAfricana,Loxodonta_africana,Elephant,vertebrate,0.5184,0.774051487
41,44,MacacaFascicularis,Macaca_fascicularis,Crab-eatingMacaque,vertebrate,0.5139,0.792065144
42,45,MacacaMulatta,Macaca_mulatta,Macaque,vertebrate,0.5146,0.790947676
43,46,MacacaNemestrina,Macaca_nemestrina,Pig-tailedMacaque,vertebrate,0.5168,0.787251055
44,47,MandrillusLeucophaeus,Mandrillus_leucophaeus,Drill,vertebrate,0.5107,0.797139049
45,48,MeleagrisGallopavo,Meleagris_gallopavo,Turkey,vertebrate,0.4871,0.80279994
46,49,MesocricetusAuratus,Mesocricetus_auratus,GoldenHamster,vertebrate,0.5254,0.767000198
47,50,MicrocebusMurinus,Microcebus_murinus,MouseLemur,vertebrate,0.5283,0.759013593
48,51,MicrotusOchrogaster,Microtus_ochrogaster,PrairieVole,vertebrate,0.5253,0.766491473
49,52,MonodelphisDomestica,Monodelphis_domestica,Opossum,vertebrate,0.4839,0.826707423
50,53,MusCaroli,Mus_caroli,RyukyuMouse,vertebrate,0.5222,0.77400887
51,54,MusMusculus,Mus_musculus,Mouse,vertebrate,0.5169,0.778957248
52,55,MusPahari,Mus_pahari,ShrewMouse,vertebrate,0.5244,0.770726204
53,56,MusSpretus,Mus_spretus,AlgerianMouse,vertebrate,0.5225,0.772550642
