SpeciesUID,NewickName,CAIS,body_mass,CAI,Nc_novembre,Nc_wright,Genic_GC,Genomic_Percent_GC,CAIS_unweighted
9,Callithrix_jacchus,0.052925402,290.21,0.806796968,62.44036221,57.58790588,0.5129,0.40666913,0.849763438
14,Cavia_porcellus,0.060447094,727.99,0.764705062,62.28635312,56.11162727,0.5269,0.417532935,0.971263373
15,Cebus_capucinus,0.053851781,3005.99,0.804127216,62.42550122,57.29787689,0.5167,0.41169905,0.861334861
16,Cercocebus_atys,0.053262711,6941.24,0.795292199,62.46609451,57.36870903,0.5166,0.413811411,0.853115346
20,Colobus_angolensis,0.054679043,8990.31,0.801355481,62.51870233,57.46406299,0.5116,0.413630941,0.875922375
25,Dipodomys_ordii,0.058313234,50.4,0.767486274,62.44843523,56.394492,0.5254,0.427634608,0.930252802
28,Equus_caballus,0.056462068,403598.53,0.78179574,62.44413959,57.02297891,0.5161,0.415145505,0.902194173
29,Felis_catus,0.051131512,2884.8,0.769161046,62.40679458,56.95085484,0.5274,0.418876725,0.826410243
35,Gorilla_gorilla,0.054327162,112588.99,0.78975296,62.5033828,57.32650796,0.5152,0.416800365,0.868637461
36,Heterocephalus_glaber,0.058867696,39.36,0.773900568,62.31819724,56.49384159,0.5233,0.414815753,0.941235878
38,Homo_sapiens,0.055664552,58540.63,0.78356111,62.32417115,56.85656597,0.5222,0.409849081,0.897492403
40,Jaculus_jaculus,0.058857359,59.8,0.767160714,62.42751007,56.33620241,0.5273,0.426045648,0.947858713
43,Loxodonta_africana,0.055528227,3824539.93,0.779289007,62.38448584,57.07784053,0.5184,0.410659964,0.893016966
45,Macaca_mulatta,0.053724133,6455.19,0.799367309,62.46860967,57.43861262,0.5146,0.412051052,0.858054581
46,Macaca_nemestrina,0.053410245,7820.78,0.795181811,62.44867849,57.36496208,0.5168,0.41252985,0.85475398
47,Mandrillus_leucophaeus,0.054777975,14253.3,0.806337059,62.50021808,57.49600066,0.5107,0.411075761,0.876494892
49,Mesocricetus_auratus,0.059065337,98.6,0.774009347,62.51611991,56.53553244,0.5254,0.430313094,0.947748563
50,Microcebus_murinus,0.052409959,69,0.766101062,62.26307524,56.7275588,0.5283,0.411232232,0.843952815
51,Microtus_ochrogaster,0.059527505,42.5,0.773679852,62.4958573,56.44859988,0.5253,0.429112626,0.958163774
53,Mus_caroli,0.058160094,14.26,0.78188318,62.71887971,56.94677324,0.5222,0.425656291,0.942821878
54,Mus_musculus,0.058071871,19.3,0.787434459,62.54683802,56.98373148,0.5169,0.421582832,0.93553885
57,Mustela_putorius,0.055148305,975.55,0.757675529,62.33192347,56.31365001,0.5314,0.421392459,0.887359705
58,Myotis_lucifugus,0.058689396,7.8,0.750896513,62.29297599,55.87522989,0.5329,0.423179485,0.935639169
60,Nomascus_leucogenys,0.052805747,7320,0.810617685,62.51047938,57.67545301,0.5098,0.409507671,0.847490057
61,Octodon_degus,0.061256119,203.27,0.757471383,62.3395086,55.83345136,0.5317,0.427324815,0.978953251
62,Ornithorhynchus_anatinus,0.055038653,1484.25,0.742436171,62.62457845,55.49489645,0.5385,0.456340193,0.905207032
63,Oryctolagus_cuniculus,0.059765092,1590.57,0.739876688,62.41332035,55.24090319,0.5386,0.441992472,0.966939783
65,Otolemur_garnettii,0.056542257,811.17,0.791294217,62.4629144,57.15801999,0.5162,0.415120626,0.89943732
67,Pan_paniscus,0.054659109,35119.95,0.800466239,62.48064033,57.38284956,0.5132,0.412552051,0.875329873
68,Pan_troglodytes,0.053315463,45000,0.794938266,62.41781995,57.34805045,0.5167,0.409984262,0.853923725
69,Panthera_pardus,0.052338223,52399.99,0.766147852,62.36290196,56.78912189,0.5273,0.417809383,0.845142935
73,Peromyscus_maniculatus,0.061113262,19.98,0.763910472,62.42084677,56.04580773,0.5293,0.429351092,0.980519195
75,Propithecus_coquereli,0.054101412,4189.27,0.761168063,62.36862988,56.45757116,0.5301,0.422522621,0.873591205
76,Rattus_norvegicus,0.057922176,282.89,0.783685446,62.63945787,56.93576739,0.5181,0.431779363,0.938816699
77,Rhinopithecus_bieti,0.054976173,11000.54,0.792648375,62.52830598,57.18904436,0.5175,0.421038015,0.87986793
80,Saimiri_boliviensis,0.054534178,799.45,0.798236489,62.49645351,57.35336732,0.5146,0.41542421,0.870191704
82,Sus_scrofa,0.053943422,84471.54,0.769346476,62.37087318,56.76637526,0.5269,0.418620232,0.866002751
407,Balaenoptera_acutorostrata,0.052433539,5587093.59,0.782636344,62.39838357,57.20494686,0.5222,0.413443427,0.846414858
408,Bison_bison,0.05280302,624577.07,0.794667006,62.53593026,57.46364465,0.5155,0.416852535,0.85081762
411,Bubalus_bubalis,0.053865027,929500.97,0.767876565,62.33728485,56.67258156,0.5301,0.418261844,0.867621592
412,Camelus_bactrianus,0.056017754,554515.91,0.775909066,62.35116831,56.6903946,0.5244,0.413610796,0.917657943
413,Camelus_dromedarius,0.055812456,492714.47,0.777762294,62.37499939,56.67876319,0.5234,0.413493164,0.927510502
415,Castor_canadensis,0.058297679,18124.41,0.799853802,62.28563239,57.13504295,0.5171,0.40077412,0.932943925
416,Ceratotherium_simum,0.052623208,2285939.43,0.786664307,62.42704708,57.28178577,0.5221,0.414748208,0.849923406
417,Chrysochloris_asiatica,0.050419632,37.16,0.805978417,62.51957521,57.97420226,0.5114,0.407045556,0.813250829
418,Condylura_cristata,0.053462583,48.15,0.774905622,62.38643542,56.96419925,0.5255,0.416335308,0.861475815
420,Elephantulus_edwardii,0.054776712,49.69,0.774144351,62.34276829,56.95992276,0.5231,0.411154212,0.881251815
421,Eptesicus_fuscus,0.057605272,17.49,0.744901896,62.3565315,55.70415789,0.5372,0.433230127,0.921176906
424,Erinaceus_europaeus,0.060436081,777.95,0.757812381,62.30319434,56.05678089,0.5299,0.420917382,0.967715793
425,Hipposideros_armiger,0.054886459,49.99,0.76406157,62.28967265,56.52247155,0.5326,0.41728481,0.876130648
427,Lipotes_vexillifer,0.053117723,112138.32,0.758092761,62.28510533,56.57177725,0.5329,0.41705137,0.853811425
429,Marmota_marmota,0.059108261,4059.15,0.800276279,62.34766015,57.0511915,0.5156,0.406780999,0.941579554
430,Meriones_unguiculatus,0.059908782,57.75,0.761881828,62.36845168,56.03793354,0.5339,0.42746659,0.96863142
431,Miniopterus_natalensis,0.05465477,10.43,0.787648559,62.46847157,57.15318192,0.5194,0.417055941,0.8839326
433,Myotis_brandtii,0.053471974,5.3,0.792548895,62.56762732,57.37308245,0.5165,0.422016538,0.85558435
437,Odobenus_rosmarus,0.052552687,1042996.25,0.770297229,62.40801467,56.92410337,0.5275,0.420008399,0.845006361
438,Odocoileus_virginianus,0.054508271,75901.25,0.771233022,62.36385204,56.75051516,0.5271,0.417669357,0.882198339
439,Orcinus_orca,0.053359943,5628758.66,0.758181632,62.36190322,56.55361098,0.5332,0.422680747,0.854030153
442,Pantholops_hodgsonii,0.051246456,32733.12,0.749472499,62.2990913,56.47233932,0.5363,0.421505969,0.828070034
445,Physeter_catodon,0.048692689,14540959.82,0.785409868,62.50169424,57.59637456,0.5222,0.418633887,0.786029562
446,Pongo_abelii,0.05239074,39696.12,0.812453747,62.49973334,57.71866195,0.5121,0.409184613,0.838877456
447,Pteropus_alecto,0.049583156,610.13,0.802378356,62.32011943,57.83847435,0.5145,0.396626717,0.800400758
450,Rousettus_aegyptiacus,0.049994517,134,0.782317519,62.24256776,57.39576556,0.5236,0.400927048,0.807021107
452,Sorex_araneus,0.061830834,9.18,0.722397327,62.2167768,54.41146534,0.5476,0.439625519,0.990958539
453,Trichechus_manatus,0.047919771,467324.83,0.829634726,62.65111502,58.44278847,0.4996,0.405507545,0.774753025
455,Ursus_maritimus,0.05306273,371703.81,0.792884052,62.572459,57.42799499,0.515,0.419459352,0.854023304
