SpeciesName,Estimate,Std._Error,df,t_value
Anolis_carolinensis,3.737e-03,1.054e-03,5.967e+06,3.544
Anser_cygnoides,1.600e-03,9.806e-04,5.967e+06,1.632
Apaloderma_vittatum,-1.548e-03,1.147e-03,5.967e+06,-1.349
Balaenoptera_acutorostrata,8.620e-03,9.734e-04,5.967e+06,8.855
Bison_bison,7.062e-03,9.749e-04,5.967e+06,7.244
Boleophthalmus_pectinirostris,1.424e-02,9.979e-04,5.967e+06,14.265
Bos_indicus,8.754e-03,9.848e-04,5.967e+06,8.890
Bos_mutus,8.114e-03,9.908e-04,5.967e+06,8.189
Bubalus_bubalis,9.958e-03,9.523e-04,5.967e+06,10.457
Buceros_rhinoceros,4.287e-04,1.138e-03,5.967e+06,0.377
Calidris_pugnax,7.851e-03,9.807e-04,5.967e+06,8.005
Callithrix_jacchus,6.798e-03,9.751e-04,5.967e+06,6.971
Callorhinchus_milii,3.460e-04,9.957e-04,5.967e+06,0.347
Calypte_anna,4.048e-03,1.041e-03,5.967e+06,3.889
Camelus_bactrianus,8.471e-03,9.878e-04,5.967e+06,8.575
Camelus_dromedarius,7.440e-03,9.963e-04,5.967e+06,7.468
Camelus_ferus,7.800e-03,9.794e-04,5.967e+06,7.964
Cariama_cristata,-1.178e-04,1.125e-03,5.967e+06,-0.105
Carlito_syrichta,5.286e-03,1.006e-03,5.967e+06,5.253
Castor_canadensis,6.675e-03,9.737e-04,5.967e+06,6.855
Cavia_porcellus,7.483e-03,1.006e-03,5.967e+06,7.436
Cebus_capucinus,6.868e-03,9.431e-04,5.967e+06,7.282
Ceratotherium_simum,1.012e-02,9.722e-04,5.967e+06,10.407
Cercocebus_atys,6.196e-03,9.671e-04,5.967e+06,6.407
Charadrius_vociferus,3.059e-03,1.038e-03,5.967e+06,2.948
Chelonia_mydas,4.818e-03,1.012e-03,5.967e+06,4.762
Chlorocebus_sabaeus,9.011e-03,1.026e-03,5.967e+06,8.780
Chrysemys_picta,8.975e-03,9.589e-04,5.967e+06,9.359
Chrysochloris_asiatica,5.915e-03,9.909e-04,5.967e+06,5.970
Clupea_harengus,1.977e-02,9.883e-04,5.967e+06,20.004
Colobus_angolensis,4.879e-03,9.494e-04,5.967e+06,5.139
Columba_livia,4.572e-03,9.821e-04,5.967e+06,4.656
Condylura_cristata,1.086e-02,9.828e-04,5.967e+06,11.054
Corvus_brachyrhynchos,5.631e-03,9.848e-04,5.967e+06,5.719
Coturnix_japonica,7.336e-03,9.673e-04,5.967e+06,7.585
Cricetulus_griseus,6.570e-03,9.646e-04,5.967e+06,6.811
Crocodylus_porosus,2.790e-03,9.823e-04,5.967e+06,2.840
Cuculus_canorus,1.858e-03,1.037e-03,5.967e+06,1.792
Cyprinodon_variegatus,1.236e-02,9.699e-04,5.967e+06,12.747
Cyprinus_carpio,6.101e-03,9.597e-04,5.967e+06,6.357
Danio_rerio,1.116e-02,9.654e-04,5.967e+06,11.563
Dipodomys_ordii,7.205e-03,1.028e-03,5.967e+06,7.008
Elephantulus_edwardii,7.682e-03,9.936e-04,5.967e+06,7.732
Eptesicus_fuscus,1.046e-02,9.947e-04,5.967e+06,10.518
Equus_caballus,8.416e-03,1.053e-03,5.967e+06,7.989
Equus_przewalskii,6.661e-03,9.714e-04,5.967e+06,6.857
Erinaceus_europaeus,1.072e-02,9.840e-04,5.967e+06,10.898
Esox_lucius,1.393e-02,9.568e-04,5.967e+06,14.562
Eurypyga_helias,-1.291e-06,1.150e-03,5.967e+06,-0.001
Falco_peregrinus,3.022e-03,1.014e-03,5.967e+06,2.980
Felis_catus,9.869e-03,9.791e-04,5.967e+06,10.080
Fukomys_damarensis,5.934e-03,1.084e-03,5.967e+06,5.476
Fulmarus_glacialis,-6.135e-04,1.130e-03,5.967e+06,-0.543
Fundulus_heteroclitus,1.291e-02,9.737e-04,5.967e+06,13.254
Gekko_japonicus,8.363e-03,9.955e-04,5.967e+06,8.401
Geospiza_fortis,4.610e-03,1.038e-03,5.967e+06,4.441
Gorilla_gorilla,6.787e-03,9.451e-04,5.967e+06,7.181
Haliaeetus_leucocephalus,5.300e-03,9.968e-04,5.967e+06,5.317
Heterocephalus_glaber,7.006e-03,9.946e-04,5.967e+06,7.044
Hipposideros_armiger,1.060e-02,9.598e-04,5.967e+06,11.043
Homo_sapiens,6.866e-03,9.520e-04,5.967e+06,7.213
Ictalurus_punctatus,1.005e-02,9.596e-04,5.967e+06,10.475
Jaculus_jaculus,7.942e-03,1.016e-03,5.967e+06,7.819
Labrus_bergylta,1.626e-02,9.741e-04,5.967e+06,16.693
Latimeria_chalumnae,-7.103e-04,1.077e-03,5.967e+06,-0.659
Lepidothrix_coronata,8.193e-03,9.707e-04,5.967e+06,8.440
Lepisosteus_oculatus,9.882e-03,1.038e-03,5.967e+06,9.517
Lipotes_vexillifer,8.957e-03,9.901e-04,5.967e+06,9.047
Loxodonta_africana,9.280e-03,1.045e-03,5.967e+06,8.884
Macaca_mulatta,7.782e-03,9.739e-04,5.967e+06,7.990
Macaca_nemestrina,5.797e-03,9.668e-04,5.967e+06,5.996
Mandrillus_leucophaeus,5.088e-03,9.817e-04,5.967e+06,5.182
Marmota_marmota,7.744e-03,9.801e-04,5.967e+06,7.902
Meriones_unguiculatus,9.069e-03,9.702e-04,5.967e+06,9.348
Mesocricetus_auratus,7.416e-03,1.011e-03,5.967e+06,7.337
Microcebus_murinus,8.986e-03,9.762e-04,5.967e+06,9.205
Microtus_ochrogaster,7.612e-03,1.000e-03,5.967e+06,7.612
Miniopterus_natalensis,7.503e-03,9.806e-04,5.967e+06,7.651
Mus_caroli,7.485e-03,9.901e-04,5.967e+06,7.560
Mus_musculus,5.485e-03,9.642e-04,5.967e+06,5.688
Mus_pahari,8.578e-03,9.909e-04,5.967e+06,8.656
Mustela_putorius,1.013e-02,1.034e-03,5.967e+06,9.800
Myotis_brandtii,8.388e-03,9.673e-04,5.967e+06,8.672
Myotis_davidii,9.233e-03,9.793e-04,5.967e+06,9.428
Myotis_lucifugus,1.225e-02,1.085e-03,5.967e+06,11.281
Nannospalax_galili,6.739e-03,1.005e-03,5.967e+06,6.706
Nomascus_leucogenys,4.150e-03,9.790e-04,5.967e+06,4.239
Octodon_degus,8.030e-03,1.009e-03,5.967e+06,7.955
Odobenus_rosmarus,9.901e-03,9.778e-04,5.967e+06,10.126
Odocoileus_virginianus,8.986e-03,9.607e-04,5.967e+06,9.353
Orcinus_orca,9.503e-03,9.831e-04,5.967e+06,9.666
Ornithorhynchus_anatinus,1.024e-02,1.114e-03,5.967e+06,9.189
Oryctolagus_cuniculus,9.080e-03,1.040e-03,5.967e+06,8.734
Otolemur_garnettii,8.098e-03,1.054e-03,5.967e+06,7.682
Pan_paniscus,5.346e-03,9.757e-04,5.967e+06,5.479
Panthera_pardus,9.629e-03,9.932e-04,5.967e+06,9.695
Pantholops_hodgsonii,1.040e-02,9.863e-04,5.968e+06,10.542
Pan_troglodytes,6.406e-03,9.647e-04,5.967e+06,6.640
Pelodiscus_sinensis,3.283e-03,1.063e-03,5.967e+06,3.088
Peromyscus_maniculatus,8.521e-03,1.000e-03,5.967e+06,8.519
Physeter_catodon,8.395e-03,9.676e-04,5.967e+06,8.676
Pongo_abelii,6.263e-03,9.568e-04,5.967e+06,6.546
Propithecus_coquereli,9.053e-03,9.894e-04,5.967e+06,9.149
Pteropus_alecto,7.185e-03,9.674e-04,5.967e+06,7.427
