SpeciesName,Estimate,Std._Error,df
Anolis_carolinensis,3.352e-03,1.270e-03,3.919e+06
Anser_cygnoides,1.502e-03,1.186e-03,3.919e+06
Apaloderma_vittatum,-1.112e-03,1.411e-03,3.919e+06
Balaenoptera_acutorostrata,7.860e-03,1.176e-03,3.919e+06
Bison_bison,5.842e-03,1.180e-03,3.919e+06
Boleophthalmus_pectinirostris,1.321e-02,1.209e-03,3.919e+06
Bos_indicus,7.603e-03,1.192e-03,3.919e+06
Bos_mutus,7.129e-03,1.203e-03,3.919e+06
Bubalus_bubalis,9.405e-03,1.149e-03,3.919e+06
Buceros_rhinoceros,8.787e-04,1.399e-03,3.919e+06
Calidris_pugnax,7.753e-03,1.188e-03,3.919e+06
Callithrix_jacchus,6.879e-03,1.179e-03,3.919e+06
Callorhinchus_milii,9.922e-04,1.208e-03,3.919e+06
Calypte_anna,4.505e-03,1.269e-03,3.919e+06
Camelus_bactrianus,7.377e-03,1.197e-03,3.919e+06
Camelus_dromedarius,6.597e-03,1.208e-03,3.919e+06
Camelus_ferus,7.079e-03,1.185e-03,3.919e+06
Cariama_cristata,1.432e-04,1.380e-03,3.919e+06
Carlito_syrichta,4.980e-03,1.221e-03,3.919e+06
Castor_canadensis,6.540e-03,1.178e-03,3.919e+06
Cavia_porcellus,8.128e-03,1.226e-03,3.919e+06
Cebus_capucinus,5.988e-03,1.136e-03,3.919e+06
Ceratotherium_simum,1.022e-02,1.177e-03,3.919e+06
Cercocebus_atys,5.464e-03,1.168e-03,3.919e+06
Charadrius_vociferus,2.646e-03,1.264e-03,3.919e+06
Chelonia_mydas,5.921e-03,1.227e-03,3.919e+06
Chlorocebus_sabaeus,8.104e-03,1.240e-03,3.919e+06
Chrysemys_picta,9.413e-03,1.157e-03,3.919e+06
Chrysochloris_asiatica,5.865e-03,1.202e-03,3.919e+06
Clupea_harengus,1.896e-02,1.197e-03,3.919e+06
Colobus_angolensis,4.038e-03,1.145e-03,3.919e+06
Columba_livia,5.344e-03,1.188e-03,3.919e+06
Condylura_cristata,1.041e-02,1.191e-03,3.919e+06
Corvus_brachyrhynchos,5.774e-03,1.193e-03,3.919e+06
Coturnix_japonica,8.170e-03,1.170e-03,3.919e+06
Cricetulus_griseus,6.541e-03,1.168e-03,3.919e+06
Crocodylus_porosus,2.900e-03,1.190e-03,3.919e+06
Cuculus_canorus,1.960e-03,1.263e-03,3.919e+06
Cyprinodon_variegatus,1.048e-02,1.173e-03,3.919e+06
Cyprinus_carpio,5.420e-03,1.161e-03,3.919e+06
Danio_rerio,1.131e-02,1.164e-03,3.919e+06
Dipodomys_ordii,7.858e-03,1.255e-03,3.919e+06
Elephantulus_edwardii,7.424e-03,1.206e-03,3.919e+06
Eptesicus_fuscus,1.038e-02,1.207e-03,3.919e+06
Equus_caballus,8.604e-03,1.281e-03,3.919e+06
Equus_przewalskii,6.167e-03,1.174e-03,3.919e+06
Erinaceus_europaeus,1.049e-02,1.193e-03,3.919e+06
Esox_lucius,1.214e-02,1.154e-03,3.919e+06
Eurypyga_helias,2.603e-04,1.415e-03,3.919e+06
Falco_peregrinus,3.421e-03,1.234e-03,3.919e+06
Felis_catus,9.667e-03,1.186e-03,3.919e+06
Fukomys_damarensis,5.904e-03,1.336e-03,3.919e+06
Fulmarus_glacialis,-2.470e-04,1.388e-03,3.919e+06
Fundulus_heteroclitus,1.024e-02,1.177e-03,3.919e+06
Gekko_japonicus,9.924e-03,1.204e-03,3.919e+06
Geospiza_fortis,4.797e-03,1.264e-03,3.919e+06
Gorilla_gorilla,6.085e-03,1.139e-03,3.919e+06
Haliaeetus_leucocephalus,5.724e-03,1.209e-03,3.919e+06
Heterocephalus_glaber,7.463e-03,1.210e-03,3.919e+06
Hipposideros_armiger,1.067e-02,1.159e-03,3.919e+06
Homo_sapiens,5.690e-03,1.149e-03,3.919e+06
Ictalurus_punctatus,1.111e-02,1.159e-03,3.919e+06
Jaculus_jaculus,8.727e-03,1.237e-03,3.919e+06
Labrus_bergylta,1.523e-02,1.180e-03,3.919e+06
Latimeria_chalumnae,-8.986e-04,1.305e-03,3.919e+06
Lepidothrix_coronata,7.931e-03,1.175e-03,3.919e+06
Lepisosteus_oculatus,9.121e-03,1.254e-03,3.919e+06
Lipotes_vexillifer,8.985e-03,1.199e-03,3.919e+06
Loxodonta_africana,1.005e-02,1.260e-03,3.919e+06
Macaca_mulatta,7.819e-03,1.179e-03,3.919e+06
Macaca_nemestrina,5.285e-03,1.168e-03,3.919e+06
Mandrillus_leucophaeus,4.769e-03,1.188e-03,3.919e+06
Marmota_marmota,7.606e-03,1.187e-03,3.919e+06
Meriones_unguiculatus,8.718e-03,1.174e-03,3.919e+06
Mesocricetus_auratus,7.936e-03,1.231e-03,3.919e+06
Microcebus_murinus,8.643e-03,1.180e-03,3.919e+06
Microtus_ochrogaster,8.192e-03,1.216e-03,3.919e+06
Miniopterus_natalensis,6.923e-03,1.186e-03,3.919e+06
Mus_caroli,7.418e-03,1.206e-03,3.919e+06
Mus_musculus,5.215e-03,1.168e-03,3.919e+06
Mus_pahari,8.597e-03,1.207e-03,3.919e+06
Mustela_putorius,9.865e-03,1.250e-03,3.919e+06
Myotis_brandtii,8.361e-03,1.170e-03,3.919e+06
Myotis_davidii,9.520e-03,1.187e-03,3.919e+06
Myotis_lucifugus,1.196e-02,1.306e-03,3.919e+06
Nannospalax_galili,7.049e-03,1.224e-03,3.919e+06
Nomascus_leucogenys,4.017e-03,1.185e-03,3.919e+06
Octodon_degus,9.172e-03,1.227e-03,3.919e+06
Odobenus_rosmarus,9.529e-03,1.183e-03,3.919e+06
Odocoileus_virginianus,8.497e-03,1.161e-03,3.919e+06
Orcinus_orca,9.029e-03,1.190e-03,3.919e+06
Ornithorhynchus_anatinus,1.049e-02,1.360e-03,3.919e+06
Oryctolagus_cuniculus,9.120e-03,1.260e-03,3.919e+06
Otolemur_garnettii,8.311e-03,1.280e-03,3.919e+06
Pan_paniscus,5.243e-03,1.181e-03,3.919e+06
Panthera_pardus,9.778e-03,1.206e-03,3.919e+06
Pantholops_hodgsonii,1.128e-02,1.190e-03,3.920e+06
Pan_troglodytes,6.273e-03,1.166e-03,3.919e+06
Pelodiscus_sinensis,3.463e-03,1.283e-03,3.919e+06
Peromyscus_maniculatus,9.131e-03,1.217e-03,3.919e+06
Physeter_catodon,7.764e-03,1.169e-03,3.919e+06
Pongo_abelii,5.363e-03,1.154e-03,3.919e+06
Propithecus_coquereli,9.508e-03,1.200e-03,3.919e+06
Pteropus_alecto,6.117e-03,1.169e-03,3.919e+06
Rattus_norvegicus,8.854e-03,1.256e-03,3.919e+06
Rhinopithecus_bieti,5.570e-03,1.175e-03,3.919e+06
Rousettus_aegyptiacus,8.728e-03,1.156e-03,3.919e+06
Saimiri_boliviensis,4.690e-03,1.179e-03,3.919e+06
Sorex_araneus,9.725e-03,1.216e-03,3.919e+06
Sus_scrofa,9.458e-03,1.176e-03,3.919e+06
Taeniopygia_guttata,3.423e-03,1.510e-03,3.919e+06
Takifugu_rubripes,1.353e-02,1.205e-03,3.919e+06
Trichechus_manatus,2.636e-03,1.169e-03,3.919e+06
Ursus_maritimus,4.953e-03,1.196e-03,3.919e+06
Xenopus_tropicalis,-3.174e-03,1.270e-03,3.919e+06
Xiphophorus_maculatus,1.170e-02,1.260e-03,3.919e+06
