SpeciesName,Estimate,Std._Error,df
Anolis_carolinensis,5.228e-03,2.961e-03,1.025e+06
Anser_cygnoides,2.236e-03,2.703e-03,1.025e+06
Apaloderma_vittatum,-2.760e-03,3.059e-03,1.025e+06
Balaenoptera_acutorostrata,1.514e-02,2.690e-03,1.025e+06
Bison_bison,1.379e-02,2.685e-03,1.025e+06
Boleophthalmus_pectinirostris,1.803e-02,2.749e-03,1.025e+06
Bos_indicus,1.462e-02,2.709e-03,1.025e+06
Bos_mutus,1.359e-02,2.711e-03,1.025e+06
Bubalus_bubalis,1.596e-02,2.644e-03,1.025e+06
Buceros_rhinoceros,-6.298e-04,3.023e-03,1.025e+06
Calidris_pugnax,1.107e-02,2.701e-03,1.025e+06
Callithrix_jacchus,9.729e-03,2.696e-03,1.025e+06
Callorhinchus_milii,4.979e-04,2.736e-03,1.025e+06
Calypte_anna,4.392e-03,2.842e-03,1.025e+06
Camelus_bactrianus,1.544e-02,2.708e-03,1.025e+06
Camelus_dromedarius,1.375e-02,2.723e-03,1.025e+06
Camelus_ferus,1.424e-02,2.697e-03,1.025e+06
Cariama_cristata,6.366e-04,3.020e-03,1.025e+06
Carlito_syrichta,8.934e-03,2.765e-03,1.025e+06
Castor_canadensis,9.291e-03,2.685e-03,1.025e+06
Cavia_porcellus,9.507e-03,2.740e-03,1.025e+06
Cebus_capucinus,1.204e-02,2.628e-03,1.025e+06
Ceratotherium_simum,1.410e-02,2.676e-03,1.025e+06
Cercocebus_atys,1.109e-02,2.677e-03,1.025e+06
Charadrius_vociferus,4.936e-03,2.831e-03,1.025e+06
Chelonia_mydas,5.869e-03,2.769e-03,1.025e+06
Chlorocebus_sabaeus,1.651e-02,2.846e-03,1.025e+06
Chrysemys_picta,1.168e-02,2.658e-03,1.025e+06
Chrysochloris_asiatica,8.939e-03,2.710e-03,1.025e+06
Clupea_harengus,2.211e-02,2.725e-03,1.025e+06
Colobus_angolensis,1.056e-02,2.640e-03,1.025e+06
Columba_livia,3.333e-03,2.706e-03,1.025e+06
Condylura_cristata,1.614e-02,2.700e-03,1.025e+06
Corvus_brachyrhynchos,7.643e-03,2.706e-03,1.025e+06
Coturnix_japonica,6.476e-03,2.674e-03,1.025e+06
Cricetulus_griseus,9.746e-03,2.662e-03,1.025e+06
Crocodylus_porosus,3.751e-03,2.708e-03,1.025e+06
