PfamUID,Age_oldest
PF00001,1934.5575
PF00002,1934.5575
PF00003,1934.5575
PF00004,4090.0000
PF00005,4090.0000
PF00007,886.0000
PF00008,3145.0000
PF00009,4090.0000
PF00010,1934.5575
PF00011,4090.0000
PF00013,3145.0000
PF00014,3145.0000
PF00016,3145.0000
PF00017,3145.0000
PF00018,3145.0000
PF00019,1028.4421
PF00021,886.0000
PF00022,3145.0000
PF00023,3145.0000
PF00024,3145.0000
PF00025,3145.0000
PF00026,3145.0000
PF00027,3145.0000
PF00028,3145.0000
PF00029,886.0000
PF00030,3145.0000
PF00031,3145.0000
PF00034,3145.0000
PF00035,3145.0000
PF00036,3145.0000
PF00038,1934.5575
PF00039,684.0000
PF00040,3145.0000
PF00041,3145.0000
PF00042,3145.0000
PF00043,3145.0000
PF00044,3145.0000
PF00045,3145.0000
PF00046,1934.5575
PF00047,3145.0000
PF00049,886.0000
PF00050,3145.0000
PF00051,1934.5575
PF00052,3145.0000
PF00053,2230.0000
PF00054,3145.0000
PF00055,1028.4421
PF00056,3145.0000
PF00057,3145.0000
PF00058,3145.0000
PF00059,3145.0000
PF00060,3145.0000
PF00061,1577.8820
PF00062,1660.0000
PF00063,2230.0000
PF00066,1934.5575
PF00067,3145.0000
PF00068,3145.0000
PF00069,3145.0000
PF00070,3145.0000
PF00074,454.3147
PF00075,3145.0000
PF00076,3145.0000
PF00079,3145.0000
PF00080,4090.0000
PF00081,3145.0000
PF00082,4090.0000
PF00083,3145.0000
PF00084,1934.5575
PF00085,4090.0000
PF00086,1028.4421
PF00087,810.2778
PF00088,1934.5575
PF00089,3145.0000
PF00090,3145.0000
PF00092,3145.0000
PF00093,1028.4421
PF00094,3145.0000
PF00095,1487.8820
PF00096,3145.0000
PF00097,3145.0000
PF00098,3145.0000
PF00100,949.9125
PF00102,3145.0000
PF00103,1577.8820
PF00104,1028.4421
PF00105,1028.4421
PF00107,3145.0000
PF00108,3145.0000
PF00109,3145.0000
PF00110,1028.4421
PF00111,3145.0000
PF00112,3145.0000
PF00113,3145.0000
PF00117,3145.0000
PF00120,4090.0000
PF00121,4090.0000
PF00122,3145.0000
PF00123,645.7238
PF00124,3145.0000
PF00125,2230.0000
PF00127,3145.0000
PF00128,3145.0000
PF00130,1934.5575
PF00131,949.9125
PF00133,4090.0000
PF00134,2230.0000
PF00135,3145.0000
PF00136,3145.0000
PF00141,3145.0000
PF00145,3145.0000
PF00147,3145.0000
PF00149,3145.0000
PF00151,3145.0000
PF00152,3145.0000
PF00155,3145.0000
PF00156,4090.0000
PF00157,1028.4421
PF00159,810.2778
PF00160,3145.0000
PF00161,3145.0000
PF00162,3145.0000
PF00163,3145.0000
PF00164,3145.0000
PF00167,2100.6973
PF00168,3145.0000
PF00169,2230.0000
PF00170,3145.0000
PF00171,4090.0000
PF00172,1934.5575
PF00173,3145.0000
PF00174,3145.0000
PF00176,3145.0000
PF00177,3145.0000
PF00178,1028.4421
PF00179,3145.0000
PF00181,4090.0000
PF00182,3145.0000
PF00183,3145.0000
PF00184,810.2778
PF00185,3145.0000
PF00186,3145.0000
PF00187,1934.5575
PF00188,3145.0000
PF00189,3145.0000
PF00190,3145.0000
PF00191,3145.0000
PF00193,886.0000
PF00194,3145.0000
PF00195,3145.0000
PF00197,306.0686
PF00198,3145.0000
PF00199,3145.0000
PF00200,1660.0000
PF00201,3145.0000
PF00203,3145.0000
PF00204,3145.0000
PF00205,3145.0000
PF00206,4090.0000
PF00207,3145.0000
PF00209,3145.0000
PF00210,4090.0000
PF00211,3145.0000
PF00212,645.7238
PF00214,684.0000
PF00215,3145.0000
PF00217,3145.0000
PF00218,3145.0000
PF00219,1028.4421
PF00220,810.2778
PF00221,3145.0000
PF00223,3145.0000
PF00224,3145.0000
PF00225,2230.0000
PF00226,3145.0000
PF00227,3145.0000
PF00228,481.7717
PF00229,1028.4421
PF00230,3145.0000
PF00232,3145.0000
PF00233,3145.0000
PF00234,1577.8820
PF00235,3145.0000
PF00236,680.2240
PF00237,3145.0000
PF00238,4090.0000
PF00240,3145.0000
PF00241,3145.0000
PF00243,810.2778
PF00244,2100.6973
PF00245,3145.0000
PF00246,3145.0000
PF00248,4090.0000
PF00250,1934.5575
PF00251,3145.0000
PF00252,3145.0000
PF00253,3145.0000
PF00254,3145.0000
PF00255,3145.0000
PF00257,1577.8820
PF00258,3145.0000
PF00260,132.0287
PF00261,3145.0000
PF00262,1934.5575
PF00264,3145.0000
PF00266,3145.0000
PF00268,3145.0000
PF00270,4090.0000
PF00271,4090.0000
PF00272,810.2778
PF00273,645.7238
PF00274,3145.0000
PF00275,3145.0000
PF00276,3145.0000
PF00277,3145.0000
PF00278,3145.0000
PF00280,3145.0000
PF00281,4090.0000
PF00282,3145.0000
PF00285,3145.0000
PF00287,1028.4421
PF00288,3145.0000
PF00289,3145.0000
PF00290,3145.0000
PF00291,3145.0000
PF00292,3145.0000
PF00293,4090.0000
PF00294,4090.0000
PF00295,3145.0000
PF00297,3145.0000
PF00298,4090.0000
PF00299,4.7925
PF00303,3145.0000
PF00304,1577.8820
PF00305,3145.0000
PF00307,2230.0000
PF00310,3145.0000
PF00311,3145.0000
PF00312,3145.0000
PF00313,3145.0000
PF00314,3145.0000
PF00316,3145.0000
PF00317,3145.0000
PF00318,3145.0000
PF00319,1934.5575
PF00320,1714.2089
PF00321,170.6814
PF00322,645.7238
PF00323,331.8312
PF00324,3145.0000
PF00326,4090.0000
PF00327,3145.0000
PF00328,3145.0000
PF00329,3145.0000
PF00330,3145.0000
PF00332,3145.0000
PF00333,4090.0000
PF00334,3145.0000
PF00335,2230.0000
PF00337,3145.0000
PF00339,3145.0000
PF00340,645.7238
PF00341,886.0000
PF00342,3145.0000
PF00343,3145.0000
PF00346,3145.0000
PF00347,3145.0000
PF00348,3145.0000
PF00349,3145.0000
PF00350,3145.0000
PF00351,3145.0000
PF00352,3145.0000
PF00354,3145.0000
PF00357,810.2778
PF00360,3145.0000
PF00361,4090.0000
PF00362,3145.0000
PF00363,132.0287
PF00364,3145.0000
PF00365,3145.0000
PF00366,3145.0000
PF00368,3145.0000
PF00372,3145.0000
PF00373,1934.5575
PF00375,3145.0000
PF00377,382.3736
PF00378,3145.0000
PF00379,1577.8820
PF00380,4090.0000
PF00382,3145.0000
PF00383,3145.0000
PF00384,4090.0000
PF00385,1934.5575
PF00386,3145.0000
PF00387,1934.5575
PF00388,3145.0000
PF00389,3145.0000
PF00390,3145.0000
PF00391,3145.0000
PF00393,3145.0000
PF00394,3145.0000
PF00396,1577.8820
PF00397,2230.0000
PF00399,295.0000
PF00400,3145.0000
PF00401,3145.0000
PF00402,1028.4421
PF00403,3145.0000
PF00405,1577.8820
PF00406,3145.0000
PF00407,846.1460
PF00410,4090.0000
PF00411,4090.0000
PF00412,3145.0000
PF00413,3145.0000
PF00414,331.8312
PF00415,3145.0000
PF00416,3145.0000
PF00418,1028.4421
PF00425,3145.0000
PF00428,3145.0000
PF00431,3145.0000
PF00432,3145.0000
PF00433,2230.0000
PF00435,1487.8820
PF00438,3145.0000
PF00439,2230.0000
PF00441,4090.0000
PF00443,3145.0000
PF00444,3145.0000
PF00445,3145.0000
PF00446,645.7238
PF00447,1934.5575
PF00448,4090.0000
PF00450,3145.0000
PF00453,3145.0000
PF00454,3145.0000
PF00456,3145.0000
PF00458,1934.5575
PF00459,3145.0000
PF00463,3145.0000
PF00464,3145.0000
PF00466,3145.0000
PF00468,3145.0000
PF00471,3145.0000
PF00472,3145.0000
PF00473,810.2778
PF00474,3145.0000
PF00475,3145.0000
PF00476,3145.0000
PF00477,3145.0000
PF00478,3145.0000
PF00479,3145.0000
PF00481,3145.0000
PF00483,3145.0000
PF00484,3145.0000
PF00485,3145.0000
PF00488,3145.0000
PF00489,544.1525
PF00490,3145.0000
PF00491,3145.0000
PF00493,3145.0000
PF00494,3145.0000
PF00498,3145.0000
PF00501,4090.0000
PF00503,1934.5575
PF00504,3145.0000
PF00505,2230.0000
PF00512,3145.0000
PF00514,3145.0000
PF00515,3145.0000
PF00521,3145.0000
PF00525,810.2778
PF00526,3145.0000
PF00528,4090.0000
PF00530,1934.5575
PF00531,3145.0000
PF00533,3145.0000
PF00534,4090.0000
PF00535,3145.0000
PF00536,3145.0000
PF00537,1577.8820
PF00538,1934.5575
PF00542,3145.0000
PF00544,3145.0000
PF00545,3145.0000
PF00547,3145.0000
PF00549,3145.0000
PF00550,3145.0000
PF00551,3145.0000
PF00553,4090.0000
PF00554,1028.4421
PF00557,4090.0000
PF00560,3145.0000
PF00561,3145.0000
PF00564,1934.5575
PF00565,3145.0000
PF00566,2230.0000
PF00568,1660.0000
PF00569,1934.5575
PF00570,4090.0000
PF00571,4090.0000
PF00572,3145.0000
PF00573,3145.0000
PF00574,3145.0000
PF00575,3145.0000
PF00576,3145.0000
PF00578,4090.0000
PF00579,3145.0000
PF00581,3145.0000
PF00583,4090.0000
PF00584,3145.0000
PF00585,3145.0000
PF00586,4090.0000
PF00587,4090.0000
PF00589,4090.0000
PF00590,4090.0000
PF00591,4090.0000
PF00594,886.0000
PF00595,3145.0000
PF00596,3145.0000
PF00609,3145.0000
PF00610,3145.0000
PF00611,1934.5575
PF00612,3145.0000
PF00613,2230.0000
PF00615,1934.5575
PF00616,1934.5575
PF00617,3145.0000
PF00618,1934.5575
PF00619,1028.4421
PF00620,3145.0000
PF00621,3145.0000
PF00622,3145.0000
PF00623,3145.0000
PF00625,3145.0000
PF00626,3145.0000
PF00627,3145.0000
PF00628,2230.0000
PF00629,3145.0000
PF00630,1934.5575
PF00631,1934.5575
PF00632,2230.0000
PF00633,3145.0000
PF00634,1660.0000
PF00635,1934.5575
PF00636,3145.0000
PF00637,2230.0000
PF00638,2100.6973
PF00639,3145.0000
PF00640,1028.4421
PF00641,3145.0000
PF00642,2230.0000
PF00643,3145.0000
PF00644,3145.0000
PF00645,3145.0000
PF00646,3145.0000
PF00647,2100.6973
PF00648,3145.0000
PF00649,656.6236
PF00650,1934.5575
PF00652,3145.0000
PF00654,3145.0000
PF00656,3145.0000
PF00657,3145.0000
PF00658,1934.5575
PF00659,2100.6973
PF00666,454.3147
PF00667,3145.0000
PF00668,3145.0000
PF00670,3145.0000
PF00672,3145.0000
PF00673,4090.0000
PF00676,3145.0000
PF00677,3145.0000
PF00679,4090.0000
PF00681,810.2778
PF00682,4090.0000
PF00683,886.0000
PF00684,3145.0000
PF00685,3145.0000
PF00686,3145.0000
PF00687,4090.0000
PF00688,3145.0000
PF00692,4090.0000
PF00694,3145.0000
PF00696,4090.0000
PF00697,3145.0000
PF00698,3145.0000
PF00699,3145.0000
PF00701,3145.0000
PF00702,3145.0000
PF00703,3145.0000
PF00704,3145.0000
PF00705,3145.0000
PF00706,284.6709
PF00709,3145.0000
PF00710,3145.0000
PF00711,544.1525
PF00712,3145.0000
PF00714,544.1525
PF00715,167.7625
PF00722,3145.0000
PF00723,4090.0000
PF00724,3145.0000
PF00727,544.1525
PF00728,3145.0000
PF00730,3145.0000
PF00731,3145.0000
PF00732,3145.0000
PF00733,3145.0000
PF00734,1934.5575
PF00735,3145.0000
PF00736,3145.0000
PF00742,3145.0000
PF00743,3145.0000
PF00745,4090.0000
PF00748,1577.8820
PF00749,4090.0000
PF00751,949.9125
PF00752,3145.0000
PF00753,4090.0000
PF00754,3145.0000
PF00755,3145.0000
PF00757,1028.4421
PF00758,544.1525
PF00759,3145.0000
PF00762,3145.0000
PF00764,3145.0000
PF00769,3145.0000
PF00772,3145.0000
PF00777,3145.0000
PF00778,1934.5575
PF00779,1934.5575
PF00780,1934.5575
PF00781,3145.0000
PF00782,3145.0000
PF00784,1934.5575
PF00786,2230.0000
PF00787,2230.0000
PF00788,1660.0000
PF00789,2230.0000
PF00790,1934.5575
PF00791,3145.0000
PF00792,2230.0000
PF00793,3145.0000
PF00794,1934.5575
PF00795,4090.0000
PF00797,3145.0000
PF00801,3145.0000
PF00804,2100.6973
PF00805,3145.0000
PF00806,2230.0000
PF00807,810.2778
PF00808,3145.0000
PF00809,4090.0000
PF00810,2100.6973
PF00811,1028.4421
PF00812,948.0000
PF00814,4090.0000
PF00815,3145.0000
PF00817,4090.0000
PF00821,3145.0000
PF00822,1028.4421
PF00827,3145.0000
PF00828,3145.0000
PF00831,3145.0000
PF00832,3145.0000
PF00833,3145.0000
PF00834,3145.0000
PF00835,1028.4421
PF00836,949.9125
PF00837,3145.0000
PF00838,2100.6973
PF00839,3145.0000
PF00840,1934.5575
PF00841,132.0287
PF00847,3145.0000
PF00848,3145.0000
PF00849,3145.0000
PF00850,3145.0000
PF00852,3145.0000
PF00853,1028.4421
PF00854,3145.0000
PF00855,1934.5575
PF00856,3145.0000
PF00857,3145.0000
PF00858,1577.8820
PF00859,810.2778
PF00860,4090.0000
PF00862,3145.0000
PF00864,1934.5575
PF00865,424.1564
PF00867,3145.0000
PF00868,1028.4421
PF00870,1028.4421
PF00875,3145.0000
PF00876,1577.8820
PF00877,3145.0000
PF00878,1028.4421
PF00879,3145.0000
PF00880,948.0000
PF00881,4090.0000
PF00882,3145.0000
PF00883,3145.0000
PF00884,3145.0000
PF00885,3145.0000
PF00886,3145.0000
PF00887,3145.0000
PF00888,2230.0000
PF00889,3145.0000
PF00890,3145.0000
PF00891,3145.0000
PF00892,4090.0000
PF00893,3145.0000
PF00900,3145.0000
PF00902,4090.0000
PF00903,3145.0000
PF00904,454.3147
PF00905,3145.0000
PF00907,1577.8820
PF00909,3145.0000
PF00912,3145.0000
PF00916,3145.0000
PF00917,2230.0000
PF00918,645.7238
PF00919,3145.0000
PF00920,3145.0000
PF00923,3145.0000
PF00924,4090.0000
PF00925,3145.0000
PF00927,1028.4421
PF00928,2230.0000
PF00930,3145.0000
PF00931,3145.0000
PF00932,3145.0000
PF00933,3145.0000
PF00935,3145.0000
PF00939,3145.0000
PF00940,3145.0000
PF00941,3145.0000
PF00953,3145.0000
PF00954,1577.8820
PF00955,3145.0000
PF00956,2230.0000
PF00957,3145.0000
PF00958,3145.0000
PF00961,3145.0000
PF00962,3145.0000
PF00964,345.7520
PF00965,3145.0000
PF00967,3145.0000
PF00969,454.3147
PF00970,3145.0000
PF00975,3145.0000
PF00976,645.7238
PF00977,4090.0000
PF00982,3145.0000
PF00984,3145.0000
PF00985,28.0725
PF00986,3145.0000
PF00988,3145.0000
PF00989,3145.0000
PF00992,824.0000
PF00993,454.3147
PF00994,4090.0000
PF00995,2230.0000
PF00996,3145.0000
PF00997,167.7625
PF00999,4090.0000
PF01000,3145.0000
PF01007,3145.0000
PF01008,3145.0000
PF01014,3145.0000
PF01015,3145.0000
PF01016,3145.0000
PF01017,1028.4421
PF01018,3145.0000
PF01019,3145.0000
PF01020,3145.0000
PF01023,1577.8820
PF01025,3145.0000
PF01026,3145.0000
PF01027,3145.0000
PF01028,3145.0000
PF01030,3145.0000
PF01031,2100.6973
PF01032,4090.0000
PF01033,3145.0000
PF01034,1577.8820
PF01035,3145.0000
PF01040,4090.0000
PF01042,3145.0000
PF01043,3145.0000
PF01044,1487.8820
PF01048,3145.0000
