Row,SpeciesUID,NewickName,Speciesname,kingdom,Genic_GC,Genomic_total_Percent_GC,CAI,CAIS,wi_CAIS,AA_weighted_CAIS
1,4,Anas_platyrhynchos,AnasPlatyrhynchos,vertebrate,0.4929,0.410589993,0.826258242,1.06115244156788,0.336375701642955,1.06172154287619
2,5,Anolis_carolinensis,AnolisCarolinensis,vertebrate,0.4842,0.398464667,0.853091896,1.04814802880784,0.333129570244789,1.04912014702403
3,9,Callithrix_jacchus,CallithrixJacchus,vertebrate,0.5129,0.40666913,0.806796968,1.07325514045089,0.335782499736215,1.07321292222748
4,12,Carlito_syrichta,CarlitoSyrichta,vertebrate,0.5123,0.407286376,0.792512834,1.07856946590809,0.338434156875502,1.07850566061836
5,14,Cavia_porcellus,CaviaPorcellus,vertebrate,0.5269,0.417532935,0.764705062,1.08818266616092,0.339262275593165,1.08724284987606
6,15,Cebus_capucinus,CebusCapucinusImitator,vertebrate,0.5167,0.41169905,0.804127216,1.07557937960153,0.336627925760176,1.07546266237659
7,16,Cercocebus_atys,CercocebusAtys,vertebrate,0.5166,0.413811411,0.795292199,1.07397096689155,0.33597061480654,1.07387982423419
8,18,Chlorocebus_sabaeus,ChlorocebusSabaeus,vertebrate,0.5205,0.41209188,0.783160269,1.07862981841914,0.336970367974659,1.07827725505404
9,20,Colobus_angolensis,ColobusAngolensisPalliatus,vertebrate,0.5116,0.413630941,0.801355481,1.07344487013056,0.336538624280149,1.0734171726824
10,22,Cricetulus_griseus,CricetulusGriseus,vertebrate,0.5076,0.420034504,0.806409359,1.07883726108034,0.337978349772273,1.07847398038987
11,23,Danio_rerio,DanioRerio,vertebrate,0.4983,0.364161728,0.792162597,1.08909528547983,0.343891298464002,1.08946730262642
12,25,Dipodomys_ordii,DipodomysOrdii,vertebrate,0.5254,0.427634608,0.767486274,1.0818538617688,0.337641361033156,1.08120337707721
13,28,Equus_caballus,EquusCaballus,vertebrate,0.5161,0.415145505,0.78179574,1.07905655921684,0.338750898546685,1.07891036352473
14,29,Felis_catus,FelisCatus,vertebrate,0.5274,0.418876725,0.769161046,1.07646628263147,0.335605419155134,1.07621451921326
15,31,Fukomys_damarensis,FukomysDamarensis,vertebrate,0.5187,0.409665155,0.778413057,1.08807963819312,0.340334695913356,1.08728293478702
16,35,Gorilla_gorilla,GorillaGorillaGorilla,vertebrate,0.5152,0.416800365,0.78975296,1.07403464543117,0.336331318650928,1.07389845349762
17,36,Heterocephalus_glaber,HeterocephalusGlaber,vertebrate,0.5233,0.414815753,0.773900568,1.08466717445561,0.338703033466839,1.08405943025519
18,38,Homo_sapiens,HomoSapiens,vertebrate,0.5222,0.409849081,0.78356111,1.08097422881421,0.337423118003836,1.08068443568177
